Fiscal Year,Grant Type,Organization,Project,Amount,Location,Strategic Priority,Strategic Results,TOTAL # SERVED,# NH SERVED,GrantStatusId
2014,Community Grant,University of Hawaii Foundation,To support the Senator Daniel Akaka Scholarship Endowment.  (Year 1 of 3),100000,Statewide,Education,Exceed Education Standards,1,1,2
2014,BOT Initiative,Native Arts and Culture Foundation,To provide fellowhip support to Native Hawaiian Artists,100000,Statewide,Culture,Participate in Culture,12,12,1
2013,Community Grant,University of Hawaii - Office of Research Services ,To support Aka Lehulehu to provide an integrated career and research-focused internship program to undeclared Native Hawaiian undergraduate students attending University of Hawaiʻi Mānoa. (Year 2 of 2),90000,Statewide,Education,Exceed Education Standards,26,26,1
2013,Community Grant,PACT,"To provide employment and placement services to various communities on Kona, Hawaii using approaches that have proven successful in Native Hawaiian homesteads on Oahu. ",124500,Hawaii,Economic Self-Sufficiency,Increase Family Income,30,30,1
2014,Community Grant,Goodwill Industries of Hawaii ,To provide comprehensive employment and career pathway services: GED tests; pre-employment training and job development; support for community college or vocational/technical training courses; and job placement and retention services.  (Year 1 of 2),180000,Hawaii,Economic Self-Sufficiency,Increase Family Income,31,31,1
2013,Community Grant,Goodwill Industries of Hawaii ,To provide comprehensive services and training to prepare and assist unemployed or underemployed low-income persons to obtain and maintain employment.,150000,Oahu,Economic Self-Sufficiency,Increase Family Income,32,32,1
2014,BOT Initiative,Waianae Community Re-Development Corporation,To support Native Hawaiian step-up interns in the Ma'o Farms Youth Leadership Program,249811,Oahu,Education,Exceed Education Standards,32,32,1
2013,Community Grant,Goodwill Industries of Hawaii ,To provide comprehensive services and training to prepare and assist unemployed or underemployed low-income persons to obtain and maintain employment.,150000,Hawaii,Economic Self-Sufficiency,Increase Family Income,34,34,1
2014,BOT Initiative,HI Tech Youth Network,To train youth in technology and multi-media skills at technology studios on Kauai,180000,Kauai,Education,Exceed Education Standards,43,43,1
2014,Community Grant,The Salvation Army ,The project will provide obesity prevention and intervention to pregnant women and mothers undergoing substance abuse treatment through culturally appropriate health education. (Year 1 of 2),122822,Statewide,Health,Decrease Chronic Disease Rates,45,28,1
2015,Community Grant,Goodwill Industries of Hawaii ,To provide comprehensive employment and career pathway services: GED tests; pre-employment training and job development; support for community college or vocational/technical training courses; and job placement and retention services. (Year 2 of 2),120000,Hawaii,Economic Self-Sufficiency,Increase Family Income,52,52,1
2013,Community Grant,PACT,"To provide employment and placement services at various public housing and low-income communities, specifically Waimanalo and Papakolea homesteads on Oahu.   ",150000,Oahu,Economic Self-Sufficiency,Increase Family Income,53,53,1
2015,Community Grant,The Salvation Army ,The project will provide obesity prevention and intervention to pregnant women and mothers undergoing substance abuse treatment through culturally appropriate health education.  (Year 2 of 2),124823,Statewide,Health,Decrease Chronic Disease Rates,53,35,1
2013,Community Grant,Helping Hands ,"Provide emergency financial assistance payments necessary to maintain housing, as well as ongoing case management and referral services.  (Year 2 of 2)",41325,Oahu,Economic Self-Sufficiency,Build Stability in Housing,54,54,1
2013,Community Grant,Kokua Kalihi Valley Comprehensive Family Services ,Help keiki and their ʻohana discover healthy lifestyle choices,125000,Oahu,Health,Improve Family Lifestyle,59,59,1
2013,Community Grant,University of Hawaii - Office of Research Services ,"To support Hookulaiwi to prepare outstanding educators and educational leaders to bring about community-based, systemic, long-term educational reviatlization of Hawaiʻi communities of highest need.  (Year 2 of 2)",195000,Statewide,Education,Exceed Education Standards,66,37,1
2015,Community Grant,"Effective Planning Innovative Communication, Inc. (DBA Epic Ohana) ",To provide rental assistance matching funds for Native Hawaiian foster youth transitioning to adulthood from foster care.    (Year 2 of 2),3780,Statewide,Economic Self-Sufficiency,Build Stability in Housing,67,54,1
2015,Community Grant,Parents and Children Together ,"To provide Competency Based Diploma program preparation classes, employment training and placement, business literacy training and business start-up support, career service planning and ongoing case management. (Year 2 of 2)",200000,Oahu,Economic Self-Sufficiency,Increase Family Income,67,67,1
2013,Community Grant,University of Hawaii - Office of Research Services,"To support Kauai Community College ""Waialeale"" program to provide financial support covering tuition, books, and fees; and program specific-academic supports including supplemental counseling and advising, to non-college-bound high school students and adu",89850,Kauai,Education,Exceed Education Standards,75,75,1
2015,Community Grant,Family Promise of Hawaii ,To assist Native Hawaiian families in transition to secure affordable rental housing.  (Year 2 of 2),20000,Oahu,Economic Self-Sufficiency,Build Stability in Housing,80,80,1
2013,Community Grant,Goodwill Industries of Hawaii ,"To improve academic performance, as evidenced by improvement in standardized test scores, of Native Hawaiian middle and high school students atttending DOE schools in Hawaiʻi County.",125000,Hawaii,Education,Exceed Education Standards,80,56,1
